Title,Year,Document Type
Simulation of large-amplitude three-dimensional liquid sloshing in spherical tanks,2017,Article
Nonlinear mechanics of flexible cables in space robotic arms subject to complex physical environment,2018,Article
Study on a Method of Horizontal Position Measurement for Suspended Target Based on Single Camera,2018,Conference paper
Analysis of liquid fuel sloshing on free-floating robot dynamics under low-gravity condition,2018,Conference paper
Liquid Propellant Slosh Analysis with Mass Transfer during On-Orbit Refueling Operation,2024,Conference paper
An experimental investigation of slat-screens to mitigate fluid sloshing in microgravity,2022,Article
Gravitational effects on liquefaction systems for Lunar and Mars exploration,2022,Article
Advantages of continuous excavation in lightweight planetary robotic operations,2016,Article
Results on the measurement of the soret coefficients for ternary hydrocarbons mixtures on board ISS: Ergebnisse der Messung der Soretkoeffizienten für ternäre Kohlenwasserstoffmischungen an Bord der ISS,2017,Article
Performances of a small hypersonic airplane (HyPlane),2015,Article
Numerical study of the filling process of a liquid hydrogen storage tank under different sloshing conditions,2020,Article
Surface Instability of Liquid Propellants in Microgravity During Pulsed Settling Operations,2024,Conference paper
A novel vibration damper for small spacecraft with large flexible appendages,2017,Conference paper
The Ceres Human Exploration and Transit Architecture (CHEATA): A Mission Architecture for Small Bodies Exploration,2022,Conference paper
Effectiveness of Xenon as a Fire Suppressant under Microgravity Combustion Environment,2016,Article
CFBDSIR 2149-0403: Young isolated planetary-mass object or high-metallicity low-mass brown dwarf? ?,2017,Article
Lateral sloshing of magnetic liquids in microgravity,2019,Conference paper
Comparison Between the FLUIDICS Experiment and Direct Numerical Simulations of Fluid Sloshing in Spherical Tanks Under Microgravity Conditions,2019,Article
Investigating the young solar system analog HD 95086: A combined HARPS and SPHERE exploration,2018,Article
Mobility and science operations on an asteroid using a hopping small spacecraft on stilts,2018,Conference paper
Development of the two phase flow separator experiment for a reduced gravity aircraft flight,2016,Conference paper
An approach to simulating Lunar crewed vehicle motions on Earth using a scaled prototype with active compensation,2023,Article
Multirobot cliff climbing on low-gravity environments,2017,Conference paper
Influence of gravitational tilt on the thermocapillary convection in a non-axisymmetric liquid bridge,2024,Article
MICROGRAVITY FLUID PHYSICS RESEARCH PLANNING FOR SPACE AND GROUND APPLICATIONS,2021,Conference paper
Upper Stage Mass Property Estimation in the Presence of Sloshing Fluids with Low Bond Numbers,2023,Conference paper
Identifying the roles of reduced gravity and pressure on the piloted ignition of solid combustibles,2015,Article
Verification and Validation of Transient Body Force in GOTHIC for Spent Fuel Pool Response to Seismic Events and Other Applications,2022,Article
Stability analysis of a novel on-orbit propellant storage and transfer system,2018,Conference paper
Dynamic properties of Span-80 adsorbed layers at paraffin-oil/water interface: Capillary pressure experiments under low gravity conditions,2017,Article
Flexible assemblies of electrocapacitive volume tomographic sensors for gauging fuel of spacecraft,2021,Article
ESA multibody simulator for spacecrafts’ ascent and landing in a microgravity environment,2015,Article
Evaluation of liquid sloshing using electrical capacitance tomography,2020,Conference paper
Towards new controller design oriented models of propellant sloshing in observation spacecraft,2019,Conference paper
"PMMA rod stagnation region flame blowoff limits at various radii, oxygen concentrations, and mixed stretch rates",2019,Article
Attitude tracking control of flexible spacecraft with large amplitude slosh,2017,Article
The New Concept of a Sampling Device Driven by Rotary Hammering Actions,2016,Article
An analysis of low-thrust orbital maneuvers around small bodies,2017,Conference paper
Endoscopically implantable devices into submucosa as the solution for low-gravity induced gastrointestinal problems,2017,Conference paper
A Comparison Study on the Feasibility of Two Low Sloshing Configurations for Small Satellite Magnetic Fluid Actuation,2022,Conference paper
Underground structures in Mars excavated by tunneling methods for sheltering humans,2017,Article
Relative optical navigation around small bodies via extreme learning machines,2016,Conference paper
The exploration of PHOBOS: Design of a Sample Return mission,2018,Article
Using solar radiation pressure to maneuver a spacecraft in the triple asteroid 2001SN263,2016,Conference paper
Parameterizing the Energy Cost of Establishing Mining Outposts on Asteroids,2023,Conference paper
Lateral Sloshing Analysis by CFD and Experiment for a Spherical Tank,2020,Article
The Rutgers SPICEsat Mission: An Educational Case Study,2024,Conference paper
Tensegrity heat shield for atmospheric entry through celestial bodies,2016,Conference paper
Dynamic modelling and stability parametric analysis of a flexible spacecraft with fuel slosh,2016,Article
Scalability analysis of legged robots for space exploration,2017,Conference paper
Liquid-filled spacecraft finite-time attitude maneuver control with attitude and angular velocity constraints,2023,Conference paper
General Tumbling-Averaged Rotational Dynamics for Defunct Satellites,2022,Article
Prediction of pool boiling heat transfer for hydrogen in microgravity,2016,Article
