Title,Year,Document Type
Controlling a Free Surface With Thermocapillary Flows and Vibrations in Microgravity,2024,Article
Nonlinear mechanics of flexible cables in space robotic arms subject to complex physical environment,2018,Article
Study on a Method of Horizontal Position Measurement for Suspended Target Based on Single Camera,2018,Conference paper
Analysis of liquid fuel sloshing on free-floating robot dynamics under low-gravity condition,2018,Conference paper
Liquid Propellant Slosh Analysis with Mass Transfer during On-Orbit Refueling Operation,2024,Conference paper
An experimental investigation of slat-screens to mitigate fluid sloshing in microgravity,2022,Article
Spreading of a pendant liquid drop underneath a textured substrate,2018,Article
Gravitational effects on liquefaction systems for Lunar and Mars exploration,2022,Article
Advantages of continuous excavation in lightweight planetary robotic operations,2016,Article
Results on the measurement of the soret coefficients for ternary hydrocarbons mixtures on board ISS: Ergebnisse der Messung der Soretkoeffizienten für ternäre Kohlenwasserstoffmischungen an Bord der ISS,2017,Article
Flow rate limitation in curved open capillary groove channels,2019,Article
Non-isothermal Wetting of an Al Alloy Pin by Al-Si Melt under Terrestrial and Microgravity Conditions,2022,Article
Numerical study of the filling process of a liquid hydrogen storage tank under different sloshing conditions,2020,Article
Surface Instability of Liquid Propellants in Microgravity During Pulsed Settling Operations,2024,Conference paper
Impact of hybrid surfaces on the droplet breakup dynamics in microgravity slug flow: A dynamic contact angle analysis,2023,Article
The Ceres Human Exploration and Transit Architecture (CHEATA): A Mission Architecture for Small Bodies Exploration,2022,Conference paper
Effectiveness of Xenon as a Fire Suppressant under Microgravity Combustion Environment,2016,Article
CFBDSIR 2149-0403: Young isolated planetary-mass object or high-metallicity low-mass brown dwarf? ?,2017,Article
Investigation of bubble structure in a microchannel under microgravity conditions: Effects of discontinuous wettability with dynamic contact angle,2022,Article
Lateral sloshing of magnetic liquids in microgravity,2019,Conference paper
Comparison Between the FLUIDICS Experiment and Direct Numerical Simulations of Fluid Sloshing in Spherical Tanks Under Microgravity Conditions,2019,Article
Bubble generation mechanisms in microchannel under microgravity and heterogeneous wettability,2024,Article
Investigating the young solar system analog HD 95086: A combined HARPS and SPHERE exploration,2018,Article
Mobility and science operations on an asteroid using a hopping small spacecraft on stilts,2018,Conference paper
An approach to simulating Lunar crewed vehicle motions on Earth using a scaled prototype with active compensation,2023,Article
Multirobot cliff climbing on low-gravity environments,2017,Conference paper
Influence of gravitational tilt on the thermocapillary convection in a non-axisymmetric liquid bridge,2024,Article
MICROGRAVITY FLUID PHYSICS RESEARCH PLANNING FOR SPACE AND GROUND APPLICATIONS,2021,Conference paper
Verification and Validation of Transient Body Force in GOTHIC for Spent Fuel Pool Response to Seismic Events and Other Applications,2022,Article
Stability analysis of a novel on-orbit propellant storage and transfer system,2018,Conference paper
Dynamic properties of Span-80 adsorbed layers at paraffin-oil/water interface: Capillary pressure experiments under low gravity conditions,2017,Article
Flexible assemblies of electrocapacitive volume tomographic sensors for gauging fuel of spacecraft,2021,Article
Evaluation of liquid sloshing using electrical capacitance tomography,2020,Conference paper
Study on Liquid Climbing Behavior During Filling Process in Tank Models Aboard the Chinese Space Station,2024,Article
Towards new controller design oriented models of propellant sloshing in observation spacecraft,2019,Conference paper
Capillary Phenomena in Tubes Under Microgravity,2023,Article
"PMMA rod stagnation region flame blowoff limits at various radii, oxygen concentrations, and mixed stretch rates",2019,Article
Attitude tracking control of flexible spacecraft with large amplitude slosh,2017,Article
The New Concept of a Sampling Device Driven by Rotary Hammering Actions,2016,Article
An analysis of low-thrust orbital maneuvers around small bodies,2017,Conference paper
Endoscopically implantable devices into submucosa as the solution for low-gravity induced gastrointestinal problems,2017,Conference paper
Underground structures in Mars excavated by tunneling methods for sheltering humans,2017,Article
Static profiles of capillary surfaces in the annular space between two coaxial cones under microgravity,2024,Article
The exploration of PHOBOS: Design of a Sample Return mission,2018,Article
Parameterizing the Energy Cost of Establishing Mining Outposts on Asteroids,2023,Conference paper
Static analysis and contact angle hysteresis study of bubbles in Chinese space station tank models under different gravity effects,2024,Article
Effects of Microorganisms on Drop Formation in Microgravity During a Parabolic Flight with Residual Gravity and Jitter,2022,Article
The Rutgers SPICEsat Mission: An Educational Case Study,2024,Conference paper
Dynamics of bubble growth during boiling at microgravity,2021,Conference paper
Scalability analysis of legged robots for space exploration,2017,Conference paper
General Tumbling-Averaged Rotational Dynamics for Defunct Satellites,2022,Article
Prediction of pool boiling heat transfer for hydrogen in microgravity,2016,Article
Computational modeling and experimental investigation of gas bubble (drop) behavior using surface tension and cohesive angle change under decreased gravity,2017,Conference paper
Electrostatic Sampler for Large Regolith Particles on Asteroids,2017,Article
Advanced numerical simulation of magnetic liquid sloshing in microgravity,2020,Conference paper
Numerical simulation of pitching sloshing under microgravity,2019,Article
A new experiment for investigating evaporation and condensation of cryogenic propellants,2016,Article
Space Lander Descent Control System Design Considering Fuel Sloshing Under Microgravity,2022,Conference paper
Openfoam simulations of late stage container draining in microgravity,2020,Article
Sloshing reduction in microgravity: Thermocapillary-based control and passive baffles,2023,Article
Fully coupled interface-tracking model for axisymmetric ferrohydrodynamic flows,2022,Article
Liquid mass gauging during propellant transfer in microgravity,2024,Article
Propellant slosh force and mass measurement,2018,Article
Progress towards a microgravity cfd validation study using the iss spheres-slosh experiment,2020,Conference paper
Numerical Modeling of Liquid Propellant Mass Transfer with Sloshing during On-Orbit Refueling,2024,Conference paper
CHARACTERIZATION OF A CAPILLARY-DRIVEN FLOW IN MICROGRAVITY BY MEANS OF OPTICAL TECHNIQUE,2023,Article
Magnetic Positive Positioning: Toward the application in space propulsion,2021,Article
Bubble growth analysis during subcooled boiling experiments on-board the international space station: Benchmark image analysis,2022,Review
Experimental investigation of drop evaporation in microgravity onboard Chinese Satellite SJ10,2019,Conference paper
The Benefits of Gravity Fields Variation on Fluids and Materials: The Review,2023,Conference paper
Adaptation to microgravity in cells of the immune system,2017,Conference paper
Measurement of contact angle under different gravity generated by a long-arm centrifuge,2020,Article
Numerical simulation of fluid flow in the vane type tank on orbital refuelling process,2018,Conference paper
