"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Plaza J.; Gligor D.; Salgado Sánchez P.; Rodríguez J.; Olfe K.","Plaza, Jose (58427458600); Gligor, Dan (57218162945); Salgado Sánchez, Pablo (57191379742); Rodríguez, Jacobo (57199092951); Olfe, Karl (57211156942)","58427458600; 57218162945; 57191379742; 57199092951; 57211156942","Controlling a Free Surface With Thermocapillary Flows and Vibrations in Microgravity","2024","Microgravity Science and Technology","36","2","13","","","","1","10.1007/s12217-024-10099-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185395488&doi=10.1007%2fs12217-024-10099-8&partnerID=40&md5=c10c721d46f8020a9465e9a6ad07a82d","Fluid control; Microgravity; Thermocapillary effect; Vibrations","Contact angle; Microgravity processing; Proportional control systems; Silicones; Space research; Two term control systems; Vibration analysis; Cylindrical cells; Fluid control; Free surfaces; Interfacial dynamics; Space explorations; Thermocapillary; Thermocapillary effect; Thermocapillary flow; Two-dimensional; Vibration; Microgravity","Article","Final","","Scopus","2-s2.0-85185395488"
"Liu Y.; Chen J.; Liu J.; Jing X.","Liu, Yuwang (34881983900); Chen, Jibiao (57205206538); Liu, Jinguo (7410106559); Jing, Xingjian (8861837700)","34881983900; 57205206538; 7410106559; 8861837700","Nonlinear mechanics of flexible cables in space robotic arms subject to complex physical environment","2018","Nonlinear Dynamics","94","1","","649","667","18","10","10.1007/s11071-018-4383-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048292619&doi=10.1007%2fs11071-018-4383-y&partnerID=40&md5=57a3e7a4b4c1823c8a008f83c91e96db","Curved surface contact; Kirchhoff nonlinear mechanics; Slow rotation of joints; Strong nonlinear interference","Cables; Liquid sloshing; Mechanics; Nonlinear systems; Radiation shielding; Robotic arms; Robotics; Space research; Temperature; Curved surfaces; Extreme conditions; Nonlinear mechanics; Operation performance; Physical environments; Slow rotation; Theoretical calculations; Ultra low temperatures; End effectors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85048292619"
"Meng S.; Dong Q.; Gao F.; Meng F.","Meng, Shaohua (57202801846); Dong, Que (36614006100); Gao, Feng (56493684800); Meng, Fanwei (57210535571)","57202801846; 36614006100; 56493684800; 57210535571","Study on a Method of Horizontal Position Measurement for Suspended Target Based on Single Camera","2018","IOP Conference Series: Materials Science and Engineering","394","3","032095","","","","0","10.1088/1757-899X/394/3/032095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052312320&doi=10.1088%2f1757-899X%2f394%2f3%2f032095&partnerID=40&md5=a538040bd42f5dc63544c069f1490139","","Bridge decks; Cameras; Composite materials; Manufacture; Position measurement; Active targets; Perspective n points; Pose determination; Region growing; Relative positions; Searching methods; Single cameras; Space manipulators; Liquid sloshing","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85052312320"
"Rackl W.; Gerstmann J.; Lampariello R.","Rackl, Wolfgang (55324555100); Gerstmann, Jens (8631561900); Lampariello, Roberto (16549988900)","55324555100; 8631561900; 16549988900","Analysis of liquid fuel sloshing on free-floating robot dynamics under low-gravity condition","2018","IEEE Aerospace Conference Proceedings","2018-March","","","1","12","11","4","10.1109/AERO.2018.8396687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049853424&doi=10.1109%2fAERO.2018.8396687&partnerID=40&md5=9a9005490fcfca6253b7da1d6897dff6","","Computational fluid dynamics; Liquid fuels; Orbits; Robotics; Robots; Computational fluid dynamics analysis; Dynamic identification; Equivalent mechanical models; Low-gravity condition; Rigid-body motion; Robot simulations; Satellite motions; Spring mass models; Fuel sloshing","Conference paper","Final","","Scopus","2-s2.0-85049853424"
"Sah R.; Srivastava R.; Saha S.; Das K.","Sah, Roshan (57226399749); Srivastava, Raunak (57210914002); Saha, Somdeb (59144264600); Das, Kaushik (58771762400)","57226399749; 57210914002; 59144264600; 58771762400","Liquid Propellant Slosh Analysis with Mass Transfer during On-Orbit Refueling Operation","2024","AIAA SciTech Forum and Exposition, 2024","","","","","","","3","10.2514/6.2024-2229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193777943&doi=10.2514%2f6.2024-2229&partnerID=40&md5=720d236a89633b618a8264ff8339f1b8","","Acceleration; Communication satellites; Computational fluid dynamics; Flight simulators; Liquid propellants; Liquid sloshing; Mass transfer; Microgravity processing; Orbits; Space applications; Space flight; Spacecraft propulsion; Tanks (containers); Lifespans; Mass centers; Moments of inertia; Non-cooperative; On orbit; On-orbit refueling; Propellant mass; Propellant tank; Refueling operations; Target spacecraft; Microgravity","Conference paper","Final","","Scopus","2-s2.0-85193777943"
"Nadeem S.; Bosca P.; Stramenga M.; Casella J.; Coppens J.; Henriques J.; Wynn G.; Hamed M.","Nadeem, Sobia (57562150100); Bosca, Paula (57815620300); Stramenga, Michael (57204247428); Casella, Jonathan (57815936400); Coppens, Jarod (57211936235); Henriques, Josh (57815936500); Wynn, Gabriella (58706975800); Hamed, Mohamed (8588718500)","57562150100; 57815620300; 57204247428; 57815936400; 57211936235; 57815936500; 58706975800; 8588718500","An experimental investigation of slat-screens to mitigate fluid sloshing in microgravity","2022","Journal of Space Safety Engineering","9","3","","319","327","8","1","10.1016/j.jsse.2022.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134782937&doi=10.1016%2fj.jsse.2022.06.007&partnerID=40&md5=a0b705deb22369438fefeab040d55a47","Fluid slosh; Microgravity; Satellite refuelling; Slat screens","","Article","Final","","Scopus","2-s2.0-85134782937"
"Mistry A.; Muralidhar K.","Mistry, Aashutosh (57189523533); Muralidhar, K. (35546246700)","57189523533; 35546246700","Spreading of a pendant liquid drop underneath a textured substrate","2018","Physics of Fluids","30","4","042104","","","","7","10.1063/1.5012921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045852647&doi=10.1063%2f1.5012921&partnerID=40&md5=911371e3aa27be44665ffb0e7f042165","","Contact angle; Liquids; Magnetic bubbles; Wetting; Dynamic contact angle; Equilibrium configuration; Flow charac-teristics; Gravitational instability; Inertial oscillation; Mathematical formulation; Three-phase contact line; Young Laplace equation; Drops","Article","Final","","Scopus","2-s2.0-85045852647"
"Balasubramaniam R.; Kashani A.; Grotenrath R.; Johnson W.","Balasubramaniam, R. (55709011700); Kashani, A. (7005953921); Grotenrath, R. (57957420600); Johnson, W. (55809329400)","55709011700; 7005953921; 57957420600; 55809329400","Gravitational effects on liquefaction systems for Lunar and Mars exploration","2022","Cryogenics","128","","103597","","","","0","10.1016/j.cryogenics.2022.103597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141466677&doi=10.1016%2fj.cryogenics.2022.103597&partnerID=40&md5=e04881bc4e766137e5022417a76c7c28","","Condensation; Cryogenic equipment; Gravitation; Heat convection; Heat exchangers; Liquefaction; Liquid sloshing; Martian surface analysis; Refrigeration; Tanks (containers); Cryocoolers; In-situ process; In-situ resource utilizations; Large-scales; Liquefaction systems; Mars exploration; Refrigeration cycles; Space agency; Space industry; Tank walls; NASA","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141466677"
"Skonieczny K.; Wettergreen D.S.; Whittaker W.L.","Skonieczny, K. (6504479644); Wettergreen, D.S. (6701392772); Whittaker, W.L. (35552082000)","6504479644; 6701392772; 35552082000","Advantages of continuous excavation in lightweight planetary robotic operations","2016","International Journal of Robotics Research","35","9","","1121","1139","18","29","10.1177/0278364915615689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979084899&doi=10.1177%2f0278364915615689&partnerID=40&md5=427f3a0a4944b4949fc22ee7390adfd0","planetary rovers; reduced gravity; robotic excavation; Space robotics; traction; wheeled robots","Construction equipment; Electric traction; Excavators; Gravitation; Liquid sloshing; Lunar surface analysis; Robotics; Robots; Silica sand; Tools; Wheels; Planetary rovers; Reduced gravity; Robotic excavation; Space robotics; Wheeled robot; Excavation","Article","Final","","Scopus","2-s2.0-84979084899"
"Ahadi A.; Saghir M.Z.","Ahadi, A. (55580009200); Saghir, M.Z. (7004388534)","55580009200; 7004388534","Results on the measurement of the soret coefficients for ternary hydrocarbons mixtures on board ISS: Ergebnisse der Messung der Soretkoeffizienten für ternäre Kohlenwasserstoffmischungen an Bord der ISS","2017","Materialwissenschaft und Werkstofftechnik","48","5","","373","377","4","1","10.1002/mawe.201700006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019549777&doi=10.1002%2fmawe.201700006&partnerID=40&md5=7851af070d0867f40856684542fff09b","DCMIX1        ; hydrocarbon mixture; separation; SODI apparatus; Thermodiffusion","Binary mixtures; Hydrocarbon refining; Hydrocarbons; Liquid sloshing; Separation; Space stations; Thermal diffusion in liquids; DCMIX1; Hydrocarbon mixture; International Space stations; Machzehnder interferometers (MZI); SODI apparatus; Soret and diffusion coefficients; Ternary hydrocarbon mixtures; Thermodiffusion; Mixtures","Article","Final","","Scopus","2-s2.0-85019549777"
