Title,Year,Document Type
Controlling a Free Surface With Thermocapillary Flows and Vibrations in Microgravity,2024,Journal Article
Nonlinear mechanics of flexible cables in space robotic arms subject to complex physical environment,2018,Journal Article
Study on a Method of Horizontal Position Measurement for Suspended Target Based on Single Camera,2018,Conference Proceeding
Analysis of liquid fuel sloshing on free-floating robot dynamics under low-gravity condition,2018,Conference Proceeding
Liquid Propellant Slosh Analysis with Mass Transfer during On-Orbit Refueling Operation,2024,Conference Proceeding
An experimental investigation of slat-screens to mitigate fluid sloshing in microgravity,2022,Journal Article
Spreading of a pendant liquid drop underneath a textured substrate,2018,Journal Article
Gravitational effects on liquefaction systems for Lunar and Mars exploration,2022,Journal Article
Advantages of continuous excavation in lightweight planetary robotic operations,2016,Journal Article
Results on the measurement of the soret coefficients for ternary hydrocarbons mixtures on board ISS: Ergebnisse der Messung der Soretkoeffizienten für ternäre Kohlenwasserstoffmischungen an Bord der ISS,2017,Journal Article
Flow rate limitation in curved open capillary groove channels,2019,Journal Article
Non-isothermal Wetting of an Al Alloy Pin by Al-Si Melt under Terrestrial and Microgravity Conditions,2022,Journal Article
Numerical study of the filling process of a liquid hydrogen storage tank under different sloshing conditions,2020,Journal Article
Surface Instability of Liquid Propellants in Microgravity During Pulsed Settling Operations,2024,Conference Proceeding
Impact of hybrid surfaces on the droplet breakup dynamics in microgravity slug flow: A dynamic contact angle analysis,2023,Journal Article
The Ceres Human Exploration and Transit Architecture (CHEATA): A Mission Architecture for Small Bodies Exploration,2022,Conference Proceeding
Effectiveness of Xenon as a Fire Suppressant under Microgravity Combustion Environment,2016,Journal Article
CFBDSIR 2149-0403: Young isolated planetary-mass object or high-metallicity low-mass brown dwarf? ?,2017,Journal Article
Investigation of bubble structure in a microchannel under microgravity conditions: Effects of discontinuous wettability with dynamic contact angle,2022,Journal Article
Lateral sloshing of magnetic liquids in microgravity,2019,Conference Proceeding
Comparison Between the FLUIDICS Experiment and Direct Numerical Simulations of Fluid Sloshing in Spherical Tanks Under Microgravity Conditions,2019,Journal Article
Bubble generation mechanisms in microchannel under microgravity and heterogeneous wettability,2024,Journal Article
Investigating the young solar system analog HD 95086: A combined HARPS and SPHERE exploration,2018,Journal Article
Mobility and science operations on an asteroid using a hopping small spacecraft on stilts,2018,Conference Proceeding
An approach to simulating Lunar crewed vehicle motions on Earth using a scaled prototype with active compensation,2023,Journal Article
Multirobot cliff climbing on low-gravity environments,2017,Conference Proceeding
Influence of gravitational tilt on the thermocapillary convection in a non-axisymmetric liquid bridge,2024,Journal Article
MICROGRAVITY FLUID PHYSICS RESEARCH PLANNING FOR SPACE AND GROUND APPLICATIONS,2021,Conference Proceeding
Verification and Validation of Transient Body Force in GOTHIC for Spent Fuel Pool Response to Seismic Events and Other Applications,2022,Journal Article
Stability analysis of a novel on-orbit propellant storage and transfer system,2018,Conference Proceeding
Dynamic properties of Span-80 adsorbed layers at paraffin-oil/water interface: Capillary pressure experiments under low gravity conditions,2017,Journal Article
Flexible assemblies of electrocapacitive volume tomographic sensors for gauging fuel of spacecraft,2021,Journal Article
Evaluation of liquid sloshing using electrical capacitance tomography,2020,Conference Proceeding
Study on Liquid Climbing Behavior During Filling Process in Tank Models Aboard the Chinese Space Station,2024,Journal Article
Towards new controller design oriented models of propellant sloshing in observation spacecraft,2019,Conference Proceeding
